Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,FAR.Description,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Total.Fatal.Serious,Plane.Type
20161219X82155,Incident,OPS17IA008,2016-12-15,"San Francisco, CA",United States,,Airplane,N986SW,BOMBARDIER INC,CL 600 2B19,No,121,0.0,0.0,0.0,0.0,0.0,BOMBARDIER INC CL 600 2B19
20161220X24626,Accident,GAA17CA096,2016-12-15,"Madisonville, TN",United States,Non-Fatal,Airplane,N7646W,PIPER,PA28,No,091,0.0,0.0,0.0,1.0,0.0,PIPER PA28
20161228X02152,Accident,GAA17CA101,2016-12-15,"Willow, AK",United States,Non-Fatal,Airplane,N56681,MAULE,MX 7,No,135,0.0,0.0,0.0,1.0,0.0,MAULE MX 7
20161216X23127,Accident,ANC17FA012,2016-12-16,"Aniak, AK",United States,Fatal,Airplane,N5028H,PIPER,PA 11,No,091,2.0,0.0,0.0,0.0,2.0,PIPER PA 11
20161219X04338,Accident,CEN17LA057,2016-12-16,"Ionia, MI",United States,Non-Fatal,Airplane,N812C,STINSON,108-3,No,091,0.0,0.0,0.0,1.0,0.0,STINSON 108-3
20170104X45517,Incident,OPS17IA010,2016-12-16,"Mt. Wilson, CA",United States,,Airplane,B-16726,BOEING,777,No,129,0.0,0.0,0.0,0.0,0.0,BOEING 777
20170110X44641,Accident,GAA17CA109,2016-12-16,"Kewanee, IL",United States,Non-Fatal,Airplane,N55484,PIPER,PA28R,No,091,0.0,0.0,0.0,2.0,0.0,PIPER PA28R
20161219X82252,Accident,ERA17LA070,2016-12-17,"Ormond Beach, FL",United States,Non-Fatal,Airplane,N410BC,BEECH,A36,No,091,0.0,0.0,1.0,0.0,0.0,BEECH A36
20170111X62303,Incident,DCA17WA054,2016-12-17,"Sydney, Australia",Australia,,Airplane,ZK-TLK,BOEING,737,No,NUSC,0.0,0.0,0.0,0.0,0.0,BOEING 737
20161220X20645,Accident,CEN17LA058,2016-12-18,"Blaine, MN",United States,Non-Fatal,Airplane,N4204B,BELLANCA,17 30A,No,091,0.0,0.0,0.0,1.0,0.0,BELLANCA 17 30A
20161219X24048,Accident,ERA17LA071,2016-12-19,"Palm Bay, FL",United States,Non-Fatal,Airplane,N150EC,CESSNA,150,No,091,0.0,2.0,0.0,0.0,2.0,CESSNA 150
20161222X35640,Accident,GAA17CA098,2016-12-19,"Apple Valley, CA",United States,Non-Fatal,Airplane,N5954B,CESSNA,182,No,091,0.0,1.0,1.0,0.0,1.0,CESSNA 182
20161221X21120,Accident,CEN17LA059,2016-12-20,"Longville, MN",United States,Non-Fatal,Airplane,N80RB,CESSNA,210,No,091,0.0,0.0,0.0,1.0,0.0,CESSNA 210
20161221X73450,Accident,DCA17WA044,2016-12-20,"Puerto Carreno, Colombia",Colombia,Fatal,Airplane,HK4544,BOEING,727,No,,3.0,0.0,3.0,0.0,3.0,BOEING 727
20161221X11609,Incident,ENG17WA007,2016-12-21,"Toronto, Canada",Canada,Non-Fatal,Airplane,4X-EAM,BOEING,767,No,,0.0,0.0,0.0,224.0,0.0,BOEING 767
20161222X21701,Accident,CEN17LA060,2016-12-21,"Millersburg, OH",United States,Non-Fatal,Airplane,N8381T,CESSNA,175C,No,091,0.0,2.0,0.0,0.0,2.0,CESSNA 175C
20161228X42814,Accident,GAA17CA103,2016-12-22,"Shreveport, LA",United States,Non-Fatal,Airplane,N9541W,PIPER,PA28,No,091,0.0,1.0,0.0,0.0,1.0,PIPER PA28
20161223X22808,Accident,ERA17FA072,2016-12-23,"Middlebury, VT",United States,Fatal,Airplane,N31202,PIPER,PA28,No,091,1.0,0.0,0.0,0.0,1.0,PIPER PA28
20161227X70812,Accident,GAA17CA099,2016-12-23,"Hartford, CT",United States,Non-Fatal,Airplane,N250YA,PIPER,PA38,No,091,0.0,1.0,0.0,0.0,1.0,PIPER PA38
20161228X95551,Accident,GAA17CA100,2016-12-23,"Warren, MN",United States,Non-Fatal,Airplane,N7961F,CESSNA,150,No,091,0.0,0.0,0.0,1.0,0.0,CESSNA 150
20170105X62347,Accident,CEN17LA070,2016-12-23,"Pontiac, MI",United States,Non-Fatal,Airplane,N1337H,AERONCA,15AC,No,091,0.0,0.0,0.0,1.0,0.0,AERONCA 15AC
20170112X34148,Accident,ERA17WA085,2016-12-23,"Tabatinga, Brazil",Brazil,Fatal,Airplane,PT-ICU,BEECH,58,No,NUSN,3.0,1.0,0.0,0.0,4.0,BEECH 58
